name,Port,Port Name,Bytes (In Bytes),Protocol,Source VM,Source Cluster,Source Host,Source IP Address,Destination VM,Destination Cluster,Destination Host,Destination IP Address
10.221.81.84(obi-router) -> 10.221.81.57(Ian-WP-Test) [port:80],80,http,6.06971876E8,TCP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57
10.221.81.190(vrni-proxy-v6) -> 10.221.81.189(vrni-platform-v6) [port:443],443,https,3.02309225E8,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189
"10.221.81.202(vROpsCloudProxy) -> 54.79.128.231(Sydney, AU) [port:443]",443,https,4.8681547E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,54.79.128.231
"10.221.81.189(vrni-platform-v6) -> 52.88.232.62(Boardman, US) [port:443]",443,https,204300.0,TCP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,52.88.232.62
10.221.81.191(vrni-proxy) -> 10.221.81.192(vrni-platform) [port:443],443,https,3.01175573E8,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192
10.221.81.192(vrni-platform) -> 8.8.8.8(US) [port:53],53,dns,192785.0,UDP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,8.8.8.8
"10.221.81.57(Ian-WP-Test) -> 45.55.9.9(San Francisco, US) [port:123]",123,ntp,6384.0,UDP,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57,,,,45.55.9.9
"10.221.81.202(vROpsCloudProxy) -> 3.105.59.52(Sydney, AU) [port:443]",443,https,4.9507755E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,3.105.59.52
"10.221.81.201(CASProxy) -> 13.239.93.90(Sydney, AU) [port:443]",443,https,1.1242464E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,13.239.93.90
10.221.81.202(vROpsCloudProxy) -> 107.154.251.105(US) [port:443],443,https,2854370.0,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,107.154.251.105
10.221.81.115(TcServer-mcm52120-150868061870) -> 10.221.81.81(SQLFireLocator-mcm52118-150868054681) [port:1527],1527,,2496.0,TCP,TcServer-mcm52120-150868061870,Cluster-1,10.221.162.4,10.221.81.115,SQLFireLocator-mcm52118-150868054681,Cluster-1,10.221.162.4,10.221.81.81
10.221.81.83(SQLFireServer-mcm52127-150870358386) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:6362],6362,,1.9214996E7,UDP,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
"10.221.81.201(CASProxy) -> 13.210.86.5(Sydney, AU) [port:443]",443,https,5.8776172E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,13.210.86.5
"10.221.81.191(vrni-proxy) -> 54.148.152.125(Boardman, US) [port:443]",443,https,1641060.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,54.148.152.125
10.221.81.204(avi-se-01) -> 10.221.81.203(AVIcontroller) [port:22],22,ssh,3.0302412E7,TCP,avi-se-01,Cluster-1,10.221.162.4,10.221.81.204,AVIcontroller,Cluster-1,10.221.162.4,10.221.81.203
"10.221.81.84(obi-router) -> 13.86.101.172(Des Moines, US) [port:123]",123,ntp,12768.0,UDP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,13.86.101.172
10.221.81.82(SQLFireServer-mcm52119-150868058562) -> 10.221.81.81(SQLFireLocator-mcm52118-150868054681) [port:10101],10101,,1414828.0,TCP,SQLFireServer-mcm52119-150868058562,Cluster-1,10.221.162.4,10.221.81.82,SQLFireLocator-mcm52118-150868054681,Cluster-1,10.221.162.4,10.221.81.81
"10.221.81.191(vrni-proxy) -> 103.214.220.220(Canberra, AU) [port:123]",123,ntp,21432.0,UDP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,103.214.220.220
10.221.81.194(tmd01) -> 117.18.232.240(AU) [port:80],80,http,10803.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,117.18.232.240
10.221.81.81(SQLFireLocator-mcm52118-150868054681) -> 10.221.81.82(SQLFireServer-mcm52119-150868058562) [port:39212],39212,,1248.0,TCP,SQLFireLocator-mcm52118-150868054681,Cluster-1,10.221.162.4,10.221.81.81,SQLFireServer-mcm52119-150868058562,Cluster-1,10.221.162.4,10.221.81.82
"10.221.81.189(vrni-platform-v6) -> 216.239.32.21(San Carlos, US) [port:80]",80,http,143846.0,TCP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,216.239.32.21
"10.221.81.189(vrni-platform-v6) -> 52.88.53.101(Boardman, US) [port:443]",443,https,3960149.0,TCP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,52.88.53.101
"10.221.81.202(vROpsCloudProxy) -> 54.148.152.125(Boardman, US) [port:443]",443,https,8689101.0,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,54.148.152.125
10.221.81.202(vROpsCloudProxy) -> 34.208.223.205(US) [port:443],443,https,1.0648669E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,34.208.223.205
10.221.81.50(NetPerf02) -> 8.8.8.8(US) [port:53],53,dns,2152.0,UDP,NetPerf02,Cluster-1,10.221.162.4,10.221.81.50,,,,8.8.8.8
10.221.81.115(TcServer-mcm52120-150868061870) -> 10.221.81.82(SQLFireServer-mcm52119-150868058562) [port:1528],1528,,3.0388866E7,TCP,TcServer-mcm52120-150868061870,Cluster-1,10.221.162.4,10.221.81.115,SQLFireServer-mcm52119-150868058562,Cluster-1,10.221.162.4,10.221.81.82
10.221.81.191(vrni-proxy) -> 10.221.172.3(NSX-Manager-2) [port:443],443,https,5.0238035E7,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
"10.221.81.190(vrni-proxy-v6) -> 159.203.82.102(Clifton, US) [port:123]",123,ntp,17784.0,UDP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,159.203.82.102
"10.221.81.194(tmd01) -> 111.221.29.254(Central, HK) [port:443]",443,https,665602.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,111.221.29.254
10.221.81.194(tmd01) -> 10.221.81.255 [port:137],137,netbios-ns,63558.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,10.221.81.255
"10.221.81.194(tmd01) -> 40.74.108.123(Osaka, JP) [port:443]",443,https,32621.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,40.74.108.123
"10.221.81.191(vrni-proxy) -> 52.88.232.62(Boardman, US) [port:443]",443,https,115000.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,52.88.232.62
"10.221.81.194(tmd01) -> 52.114.128.70(Des Moines, US) [port:443]",443,https,79974.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,52.114.128.70
10.221.81.114 -> 10.221.81.189(vrni-platform-v6) [port:8080],8080,,777960.0,TCP,,,,10.221.81.114,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189
10.221.81.57(Ian-WP-Test) -> 10.221.81.3 [port:67],67,bootps,958.0,UDP,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57,,,,10.221.81.3
10.221.81.115(TcServer-mcm52120-150868061870) -> 10.221.81.3 [port:67],67,bootps,3280.0,UDP,TcServer-mcm52120-150868061870,Cluster-1,10.221.162.4,10.221.81.115,,,,10.221.81.3
10.221.81.82(SQLFireServer-mcm52119-150868058562) -> 10.221.81.81(SQLFireLocator-mcm52118-150868054681) [port:35343],35343,,2496.0,TCP,SQLFireServer-mcm52119-150868058562,Cluster-1,10.221.162.4,10.221.81.82,SQLFireLocator-mcm52118-150868054681,Cluster-1,10.221.162.4,10.221.81.81
10.221.81.117(TcServer-mcm52128-150870363401) -> 10.221.81.3 [port:67],67,bootps,1968.0,UDP,TcServer-mcm52128-150870363401,Cluster-1,10.221.162.4,10.221.81.117,,,,10.221.81.3
10.221.81.201(CASProxy) -> 8.8.8.8(US) [port:53],53,dns,256192.0,UDP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,8.8.8.8
"10.221.81.57(Ian-WP-Test) -> 52.201.183.155(Ashburn, US) [port:443]",443,https,104061.0,TCP,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57,,,,52.201.183.155
10.221.81.114 -> 255.255.255.255 [port:67],67,bootps,1312.0,UDP,,,,10.221.81.114,,,,255.255.255.255
10.221.81.57(Ian-WP-Test) -> 8.8.8.8(US) [port:53],53,dns,6917.0,UDP,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57,,,,8.8.8.8
10.221.81.190(vrni-proxy-v6) -> 10.221.174.4(vcenter) [port:443],443,https,1.474586369E9,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,vcenter,Cluster-1,10.221.162.4,10.221.174.4
"10.221.81.194(tmd01) -> 13.70.72.233(Sydney, AU) [port:443]",443,https,6009949.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,13.70.72.233
"10.221.81.190(vrni-proxy-v6) -> 52.88.232.62(Boardman, US) [port:443]",443,https,115000.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,52.88.232.62
10.221.81.194(tmd01) -> 142.250.71.67(US) [port:443],443,https,49022.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,142.250.71.67
"10.221.81.192(vrni-platform) -> 52.88.53.101(Boardman, US) [port:443]",443,https,3968722.0,TCP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,52.88.53.101
"10.221.81.194(tmd01) -> 13.88.145.64(San Jose, US) [port:443]",443,https,7245.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,13.88.145.64
10.221.81.66(SQLFireLocator-mcm52126-150870354692) -> 10.221.81.3 [port:67],67,bootps,1968.0,UDP,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66,,,,10.221.81.3
"10.221.81.194(tmd01) -> 3.136.87.213(Columbus, US) [port:443]",443,https,1.046408662E9,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,3.136.87.213
10.221.81.113 -> 10.221.81.3 [port:67],67,bootps,1126024.0,UDP,,,,10.221.81.113,,,,10.221.81.3
10.221.81.190(vrni-proxy-v6) -> 10.221.172.3(NSX-Manager-2) [port:443],443,https,5.0326967E7,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
10.221.81.189(vrni-platform-v6) -> 8.8.8.8(US) [port:53],53,dns,87904.0,UDP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,8.8.8.8
10.221.81.201(CASProxy) -> 10.221.174.4(vcenter) [port:443],443,https,5.2783434E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,vcenter,Cluster-1,10.221.162.4,10.221.174.4
10.221.81.82(SQLFireServer-mcm52119-150868058562) -> 10.221.81.3 [port:67],67,bootps,1968.0,UDP,SQLFireServer-mcm52119-150868058562,Cluster-1,10.221.162.4,10.221.81.82,,,,10.221.81.3
"10.221.81.195(tm01) -> 198.255.68.106(Los Angeles, US) [port:123]",123,ntp,12768.0,UDP,tm01,Cluster-1,10.221.162.4,10.221.81.195,,,,198.255.68.106
"10.221.81.192(vrni-platform) -> 216.239.32.21(San Carlos, US) [port:80]",80,http,147438.0,TCP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,216.239.32.21
10.221.81.195(tm01) -> 10.221.81.194(tmd01) [port:53],53,dns,1113139.0,UDP,tm01,Cluster-1,10.221.162.4,10.221.81.195,tmd01,Cluster-1,10.221.162.4,10.221.81.194
10.221.81.194(tmd01) -> 184.84.165.97(US) [port:80],80,http,72295.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,184.84.165.97
"10.221.81.195(tm01) -> 64.22.253.155(Springfield, US) [port:123]",123,ntp,19684.0,UDP,tm01,Cluster-1,10.221.162.4,10.221.81.195,,,,64.22.253.155
10.221.81.118(TcServer-mcm52129-150870363401) -> 10.221.81.3 [port:67],67,bootps,2624.0,UDP,TcServer-mcm52129-150870363401,Cluster-1,10.221.162.4,10.221.81.118,,,,10.221.81.3
"10.221.81.190(vrni-proxy-v6) -> 216.239.32.21(San Carlos, US) [port:80]",80,http,144811.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,216.239.32.21
10.221.81.195(tm01) -> 199.180.255.17(US) [port:123],123,ntp,12768.0,UDP,tm01,Cluster-1,10.221.162.4,10.221.81.195,,,,199.180.255.17
"10.221.81.189(vrni-platform-v6) -> 216.239.38.21(San Carlos, US) [port:80]",80,http,113458.0,TCP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,216.239.38.21
10.221.81.195(tm01) -> 79.137.73.44(FR) [port:80],80,http,1664.0,TCP,tm01,Cluster-1,10.221.162.4,10.221.81.195,,,,79.137.73.44
10.221.81.191(vrni-proxy) -> 8.8.8.8(US) [port:53],53,dns,107288.0,UDP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,8.8.8.8
10.221.81.57(Ian-WP-Test) -> 198.143.164.251(US) [port:443],443,https,172506.0,TCP,Ian-WP-Test,Cluster-1,10.221.162.4,10.221.81.57,,,,198.143.164.251
10.221.81.53(NetPerf01) -> 10.221.81.3 [port:67],67,bootps,1302.0,UDP,NetPerf01,Cluster-1,10.221.162.4,10.221.81.53,,,,10.221.81.3
10.221.81.194(tmd01) -> 152.199.39.108(US) [port:443],443,https,31598.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,152.199.39.108
10.221.81.194(tmd01) -> 152.195.38.129(US) [port:443],443,https,71801.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,152.195.38.129
10.221.81.116(MessageBus-mcm52124-150870350995) -> 10.221.81.3 [port:67],67,bootps,2624.0,UDP,MessageBus-mcm52124-150870350995,Cluster-1,10.221.162.4,10.221.81.116,,,,10.221.81.3
10.221.81.204(avi-se-01) -> 10.221.81.203(AVIcontroller) [port:8443],8443,,1834756.0,TCP,avi-se-01,Cluster-1,10.221.162.4,10.221.81.204,AVIcontroller,Cluster-1,10.221.162.4,10.221.81.203
"10.221.81.53(NetPerf01) -> 216.239.35.8(San Carlos, US) [port:123]",123,ntp,6384.0,UDP,NetPerf01,Cluster-1,10.221.162.4,10.221.81.53,,,,216.239.35.8
"10.221.81.194(tmd01) -> 40.119.249.228(Singapore, SG) [port:443]",443,https,22911.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,40.119.249.228
10.221.81.117(TcServer-mcm52128-150870363401) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:1527],1527,,2496.0,TCP,TcServer-mcm52128-150870363401,Cluster-1,10.221.162.4,10.221.81.117,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
10.221.81.194(tmd01) -> 10.221.81.255 [port:138],138,netbios-dgm,29312.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,10.221.81.255
10.221.81.194(tmd01) -> 157.240.8.35(US) [port:443],443,https,5279.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,157.240.8.35
"10.221.81.194(tmd01) -> 216.58.196.142(Mountain View, US) [port:443]",443,https,46177.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,216.58.196.142
"10.221.81.201(CASProxy) -> 52.63.187.132(Sydney, AU) [port:443]",443,https,6.4785752E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,52.63.187.132
10.221.81.189(vrni-platform-v6) -> 107.154.251.105(US) [port:443],443,https,275823.0,TCP,vrni-platform-v6,Cluster-1,10.221.162.4,10.221.81.189,,,,107.154.251.105
"10.221.81.191(vrni-proxy) -> 216.239.32.21(San Carlos, US) [port:80]",80,http,150086.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,,,,216.239.32.21
10.221.81.194(tmd01) -> 224.0.0.252 [port:5355],5355,,25238.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,224.0.0.252
10.221.81.50(NetPerf02) -> 23.202.168.4(US) [port:443],443,https,106532.0,TCP,NetPerf02,Cluster-1,10.221.162.4,10.221.81.50,,,,23.202.168.4
10.221.81.191(vrni-proxy) -> 10.221.174.4(vcenter) [port:22],22,ssh,360.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,vcenter,Cluster-1,10.221.162.4,10.221.174.4
"10.221.81.202(vROpsCloudProxy) -> 52.62.189.77(Sydney, AU) [port:443]",443,https,4.9375953E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,52.62.189.77
10.221.81.84(obi-router) -> 10.221.81.3 [port:67],67,bootps,1312.0,UDP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,10.221.81.3
10.221.81.118(TcServer-mcm52129-150870363401) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:1527],1527,,2496.0,TCP,TcServer-mcm52129-150870363401,Cluster-1,10.221.162.4,10.221.81.118,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
"10.221.81.194(tmd01) -> 139.99.222.72(Sydney, AU) [port:123]",123,ntp,10792.0,UDP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,139.99.222.72
"10.221.81.194(tmd01) -> 40.90.189.152(Singapore, SG) [port:443]",443,https,32471.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,40.90.189.152
10.221.81.191(vrni-proxy) -> 10.221.172.3(NSX-Manager-2) [port:22],22,ssh,120.0,TCP,vrni-proxy,Cluster-1,10.221.162.4,10.221.81.191,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
"10.221.81.202(vROpsCloudProxy) -> 13.55.238.141(Sydney, AU) [port:443]",443,https,4.569975E7,TCP,vROpsCloudProxy,Cluster-1,10.221.162.4,10.221.81.202,,,,13.55.238.141
10.221.81.117(TcServer-mcm52128-150870363401) -> 10.221.81.83(SQLFireServer-mcm52127-150870358386) [port:1528],1528,,3.0342924E7,TCP,TcServer-mcm52128-150870363401,Cluster-1,10.221.162.4,10.221.81.117,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83
10.221.81.83(SQLFireServer-mcm52127-150870358386) -> 10.221.81.66(SQLFireLocator-mcm52126-150870354692) [port:37688],37688,,2496.0,TCP,SQLFireServer-mcm52127-150870358386,Cluster-1,10.221.162.4,10.221.81.83,SQLFireLocator-mcm52126-150870354692,Cluster-1,10.221.162.4,10.221.81.66
10.221.81.192(vrni-platform) -> 107.154.251.105(US) [port:443],443,https,274562.0,TCP,vrni-platform,Cluster-1,10.221.162.4,10.221.81.192,,,,107.154.251.105
"10.221.81.190(vrni-proxy-v6) -> 44.240.91.71(Boardman, US) [port:443]",443,https,1782925.0,TCP,vrni-proxy-v6,Cluster-1,10.221.162.4,10.221.81.190,,,,44.240.91.71
"10.221.81.84(obi-router) -> 35.244.86.189(Sydney, AU) [port:443]",443,https,1.8037424E7,TCP,obi-router,Cluster-1,10.221.162.4,10.221.81.84,,,,35.244.86.189
"10.221.81.50(NetPerf02) -> 216.239.35.0(San Carlos, US) [port:123]",123,ntp,6384.0,UDP,NetPerf02,Cluster-1,10.221.162.4,10.221.81.50,,,,216.239.35.0
"10.221.81.201(CASProxy) -> 52.64.2.133(Sydney, AU) [port:443]",443,https,1.163751E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,52.64.2.133
10.221.81.114 -> 10.221.81.3 [port:67],67,bootps,1124712.0,UDP,,,,10.221.81.114,,,,10.221.81.3
"10.221.81.201(CASProxy) -> 54.253.218.35(Sydney, AU) [port:443]",443,https,3.7654469E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,,,,54.253.218.35
10.221.81.201(CASProxy) -> 10.221.172.3(NSX-Manager-2) [port:443],443,https,1.0766914E7,TCP,CASProxy,Cluster-1,10.221.162.4,10.221.81.201,NSX-Manager-2,Cluster-1,10.221.162.4,10.221.172.3
10.221.81.194(tmd01) -> 13.107.13.93(US) [port:443],443,https,49020.0,TCP,tmd01,Cluster-1,10.221.162.4,10.221.81.194,,,,13.107.13.93
10.221.81.53(NetPerf01) -> 8.8.8.8(US) [port:53],53,dns,2152.0,UDP,NetPerf01,Cluster-1,10.221.162.4,10.221.81.53,,,,8.8.8.8
